38,26.5,32.5,43,56.5,77,101,56.5,66.5,150,154,134.5,142,154,159.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,209,214,222,225.5,248,251,270,274,273.5,316.5,226,231,251,252,259,264.5,268,336,338.5,342,346.5,350.5,352.5,233,236,338.5,342,346.5,349.5,353.5,357.5,323.5,330,,,,,,,,,,,,,
47,90.5,97,162.5,181.5,98.5,101.5,132.5,133.5,158,162.5,222.5,255.5,102,132.5,133.5,158,273,299,262.5,270,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,58.5,88,142,152.5,153.5,60,85.5,153.5,157,170,174,157,161,174,176,142,149.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,86,92,135,146.5,74.5,86,92,101,116,135,146.5,170.5,112.5,116,46.5,52.5,66,74.5,101,107.5,110,112.5,170.5,183,192,220,183,191,,,,,,,,,,,,,,,,,,
54,18,24,168,171,25,29,34,71,171,186.5,195.5,196.5,71,74,77,157.5,157.5,166.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,20.5,24,62,73.5,78,99,99,105,29.5,58,117.5,123.5,126,130,132.5,136.5,136.5,139,123.5,125.5,130,131.5,139,141,105,114.5,,,,,,,,,,,,,,,,,,,,
58,41,46.5,107.5,121,48.5,76.5,157,159.5,159.5,161.5,168,171,176.5,178,180,181.5,161.5,168,171,176.5,178,180,181.5,184,146,154,,,,,,,,,,,,,,,,,,,,
59,28,34.5,37.5,46.5,57,57.5,63,66.5,124,131,137.5,139.5,47.5,57,57.5,63,66.5,74.5,156,157,163,165,171,176.5,157,163,165,171,176.5,182,78,124,141,149,,,,,,,,,,,,
62,28.5,32,46.5,66,74.5,106.5,140.5,150,150,164.5,161.5,165,165,168,120,129.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,30.5,39,45,47,70,95.5,97,108,47,51,54,56.5,59.5,63,95.5,97,126,129.5,136.5,139.5,51,54,56.5,59.5,63,65.5,108,112,129.5,136.5,139.5,146.5,114.5,122.5,,,,,,,,,,,,
67,25,35.5,35.5,39.5,90.5,106,106,108,108.5,109.5,110.5,116,139.5,159,39.5,43,159,165.5,43,48.5,54.5,56.5,63,64.5,64.5,68.5,48.5,52,56.5,60.5,68.5,72.5,86,90.5,126,135.5,,,,,,,,,,
69,148,151.5,191.5,196,41.5,44,53,59,103.5,105.5,120,128,177,178,59,110,105.5,120,196,207,212,216.5,207,212,216.5,223,128,148,151.5,177,178,188,,,,,,,,,,,,,,
73,31.5,37,39.5,50,70.5,135.5,50,54.5,54.5,56,59,63.5,65.5,67,56,59,63.5,65.5,147.5,178.5,135.5,144.5,,,,,,,,,,,,,,,,,,,,,,,,
79,46.5,50,132.5,142.5,50,53,53.5,55,58,61,243.5,245.5,55,58,63,71,76,85.5,91,103,207.5,212.5,220,223,61,63,71,76,85.5,91,103,109,212.5,215.5,125,132.5,142.5,146.5,151.5,156,191.5,195.5,223,243.5,195.5,203.5
82,39.5,45.5,49.5,83.5,189.5,193.5,193.5,212.5,88.5,114.5,136.5,156,156,174,174,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,47.5,48.5,106,165.5,177,184.5,188,189.5,196,197,203.5,207,55.5,56.5,69,71.5,76,85,184.5,188,189.5,196,197,203.5,207,209,56.5,69,71.5,76,85,87,106,165.5,,,,,,,,,,,,
87,30,35,37,45.5,67.5,106,116.5,118.5,45.5,60.5,60.5,65,128,134,141,144.5,118.5,125.5,106,114,,,,,,,,,,,,,,,,,,,,,,,,,,
88,37.5,39,41.5,49.5,127.5,135,136.5,141.5,143.5,148,49.5,57,60,66,135,136.5,141.5,143.5,57,60,66,69,148,153.5,73,106.5,106.5,125,,,,,,,,,,,,,,,,,,
91,65,101.5,15,16,18.5,27.5,32,36.5,42,48,49.5,52.5,101.5,104,27.5,32,36.5,42,52.5,61,115,119,124.5,127.5,129.5,140.5,119,124.5,127.5,129.5,103.5,112.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,2,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,5,4,5,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,2,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,3,3,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2,4,1,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
